"","team_name","week","season","game_id","pass_grade","opponent","qbgrp_ssn","rank","num_games","half_mark","performance"
"194","ATL",13,2023,23978,54.7,"NYJ","ATLRidder-2023",6,12,6,"Good"
"195","ATL",1,2023,23797,51.8,"CAR","ATLRidder-2023",7,12,6,"Bad"
"196","ATL",15,2023,24013,47.9,"CAR","ATLRidder-2023",8,12,6,"Bad"
"197","ATL",4,2023,23845,47.7,"JAX","ATLRidder-2023",9,12,6,"Bad"
"198","ATL",3,2023,23837,44.2,"DET","ATLRidder-2023",10,12,6,"Bad"
"199","ATL",2,2023,23813,43.4,"GB","ATLRidder-2023",11,12,6,"Bad"
"200","ATL",6,2023,23880,40,"WAS","ATLRidder-2023",12,12,6,"Bad"
"201","ATL",9,2016,4214,91.7,"TB","ATLRyan-2016",1,19,10,"Good"
"202","ATL",30,2016,4359,91.7,"GB","ATLRyan-2016",1,19,10,"Good"
"203","ATL",4,2016,4144,90.3,"CAR","ATLRyan-2016",2,19,10,"Good"
"204","ATL",16,2016,4320,87.2,"CAR","ATLRyan-2016",3,19,10,"Good"
"205","ATL",6,2016,4183,85.1,"SEA","ATLRyan-2016",4,19,10,"Good"
"206","ATL",15,2016,4309,83.3423076923077,"SF","ATLRyan-2016",5,19,10,"Good"
"207","ATL",17,2016,4334,82.7,"NO","ATLRyan-2016",6,19,10,"Good"
"208","ATL",8,2016,4203,82.6,"GB","ATLRyan-2016",7,19,10,"Good"
"209","ATL",32,2016,4361,80.7,"NE","ATLRyan-2016",8,19,10,"Good"
"210","ATL",14,2016,4299,75.9647058823529,"LA","ATLRyan-2016",9,19,10,"Good"
"211","ATL",12,2016,4258,74.5,"ARZ","ATLRyan-2016",10,19,10,"Good"
"212","ATL",2,2016,4113,71,"LV","ATLRyan-2016",11,19,10,"Bad"
"213","ATL",29,2016,4354,69.4,"SEA","ATLRyan-2016",12,19,10,"Bad"
"214","ATL",7,2016,4200,69.3,"LAC","ATLRyan-2016",13,19,10,"Bad"
"215","ATL",1,2016,4095,65.3,"TB","ATLRyan-2016",14,19,10,"Bad"
"216","ATL",5,2016,4165,64.4,"DEN","ATLRyan-2016",15,19,10,"Bad"
"217","ATL",10,2016,4232,64,"PHI","ATLRyan-2016",16,19,10,"Bad"
"218","ATL",3,2016,4141,60.4,"NO","ATLRyan-2016",17,19,10,"Bad"
"219","ATL",13,2016,4272,54.8,"KC","ATLRyan-2016",18,19,10,"Bad"
"220","ATL",11,2017,8081,91.3,"SEA","ATLRyan-2017",1,18,9,"Good"
"221","ATL",12,2017,8090,89.1909090909091,"TB","ATLRyan-2017",2,18,9,"Good"
"222","ATL",8,2017,8031,87.2,"NYJ","ATLRyan-2017",3,18,9,"Good"
"223","ATL",10,2017,8065,83.3,"DAL","ATLRyan-2017",4,18,9,"Good"
"224","ATL",9,2017,8043,82.4,"CAR","ATLRyan-2017",5,18,9,"Good"
"225","ATL",6,2017,8005,79.8,"MIA","ATLRyan-2017",6,18,9,"Good"
"226","ATL",16,2017,8148,79.2,"NO","ATLRyan-2017",7,18,9,"Good"
"227","ATL",17,2017,8163,75.7,"CAR","ATLRyan-2017",8,18,9,"Good"
"228","ATL",2,2017,7952,72.7,"GB","ATLRyan-2017",9,18,9,"Good"
"229","ATL",13,2017,8105,70.3,"MIN","ATLRyan-2017",10,18,9,"Bad"
"230","ATL",15,2017,8145,69.1,"TB","ATLRyan-2017",11,18,9,"Bad"
"231","ATL",3,2017,7956,68.4,"DET","ATLRyan-2017",12,18,9,"Bad"
"232","ATL",28,2017,9298,67.9,"LA","ATLRyan-2017",13,18,9,"Bad"
"233","ATL",1,2017,7924,65.1,"CHI","ATLRyan-2017",14,18,9,"Bad"
"234","ATL",7,2017,8027,64,"NE","ATLRyan-2017",15,18,9,"Bad"
"235","ATL",29,2017,9302,63.2,"PHI","ATLRyan-2017",16,18,9,"Bad"
"236","ATL",4,2017,7972,59.6,"BUF","ATLRyan-2017",17,18,9,"Bad"
"237","ATL",14,2017,8114,45.7,"NO","ATLRyan-2017",18,18,9,"Bad"
"238","ATL",7,2018,9444,87.3,"NYG","ATLRyan-2018",1,16,8,"Good"
"239","ATL",6,2018,9417,83.5,"TB","ATLRyan-2018",2,16,8,"Good"
"240","ATL",3,2018,9371,81.7,"NO","ATLRyan-2018",3,16,8,"Good"
"241","ATL",15,2018,9549,81.6,"ARZ","ATLRyan-2018",4,16,8,"Good"
"242","ATL",4,2018,9387,78.3,"CIN","ATLRyan-2018",5,16,8,"Good"
"243","ATL",12,2018,9501,75.5,"NO","ATLRyan-2018",6,16,8,"Good"
"244","ATL",2,2018,9355,75.1,"CAR","ATLRyan-2018",7,16,8,"Good"
"245","ATL",9,2018,9466,74.3,"WAS","ATLRyan-2018",8,16,8,"Good"
"246","ATL",11,2018,9487,72,"DAL","ATLRyan-2018",9,16,8,"Bad"
"247","ATL",16,2018,9562,69.1,"CAR","ATLRyan-2018",10,16,8,"Bad"
"248","ATL",17,2018,9589,66.2674157303371,"TB","ATLRyan-2018",11,16,8,"Bad"
"249","ATL",10,2018,9475,66.2,"CLV","ATLRyan-2018",12,16,8,"Bad"
"250","ATL",14,2018,9534,59.9,"GB","ATLRyan-2018",13,16,8,"Bad"
"251","ATL",5,2018,9409,54.3056603773585,"PIT","ATLRyan-2018",14,16,8,"Bad"
"252","ATL",13,2018,9515,50.6849315068493,"BLT","ATLRyan-2018",15,16,8,"Bad"
"253","ATL",1,2018,9338,48.5,"PHI","ATLRyan-2018",16,16,8,"Bad"
"254","ATL",3,2019,13798,85.2,"IND","ATLRyan-2019",1,15,8,"Good"
"255","ATL",6,2019,13849,81.3,"ARZ","ATLRyan-2019",2,15,8,"Good"
"256","ATL",11,2019,13917,80.924,"CAR","ATLRyan-2019",3,15,8,"Good"
"257","ATL",16,2019,13991,78.1,"JAX","ATLRyan-2019",4,15,8,"Good"
"258","ATL",15,2019,13983,74.2,"SF","ATLRyan-2019",5,15,8,"Good"
"259","ATL",5,2019,13835,68.7,"HST","ATLRyan-2019",6,15,8,"Good"
"260","ATL",17,2019,14010,68.4,"TB","ATLRyan-2019",7,15,8,"Good"
"261","ATL",14,2019,13955,66.3,"CAR","ATLRyan-2019",8,15,8,"Bad"
"262","ATL",4,2019,13811,65.7,"TEN","ATLRyan-2019",9,15,8,"Bad"
"263","ATL",1,2019,13765,62.3,"MIN","ATLRyan-2019",10,15,8,"Bad"
